t,pitch_deg,gyro_dps,base_cmd
2.3,-1.4432,-23.8342,-6
2.304,-1.53886,-23.9143,-6
2.308,-1.63484,-23.9939,-6
2.312,-1.73113,-24.073,-6
2.316,-1.82773,-24.1515,-6
2.32,-1.92465,-24.2296,-6
2.324,-2.02188,-24.3071,-6
2.328,-2.11942,-24.3842,-6
2.332,-2.21726,-24.4608,-6
2.336,-2.31541,-24.537,-6
2.34,-2.41386,-24.6127,-6
2.344,-2.51261,-24.688,-6
2.348,-2.61166,-24.7628,-6
2.352,-2.71101,-24.8372,-6
2.356,-2.81066,-24.9112,-6
2.36,-2.9106,-24.9848,-6
2.364,-3.01083,-25.058,-6
2.368,-3.11135,-25.1308,-6
2.372,-3.21216,-25.2032,-6
2.376,-3.31327,-25.2752,-6
2.38,-3.41465,-25.3469,-6
2.384,-3.51633,-25.4182,-6
2.388,-3.61828,-25.4892,-6
2.392,-3.72048,-25.5501,-5.86512
2.396,-3.82273,-25.5618,-5.18432
2.4,-3.92484,-25.5262,-4.52035
2.404,-4.02661,-25.4444,-3.85956
2.408,-4.12788,-25.3172,-3.20286
2.412,-4.22847,-25.1458,-2.55076
2.416,-4.32819,-24.9311,-1.90379
2.42,-4.42689,-24.6742,-1.26247
2.424,-4.52439,-24.3762,-0.627308
2.428,-4.62054,-24.0382,0.00120983
2.432,-4.71519,-23.6612,0.622592
2.436,-4.80817,-23.2465,1.23636
2.44,-4.89936,-22.7951,1.84205
2.444,-4.98859,-22.3083,2.43921
2.448,-5.07574,-21.7872,3.0274
2.452,-5.16067,-21.2329,3.60618
2.456,-5.24326,-20.6467,4.17513
2.46,-5.32337,-20.0298,4.73384
2.464,-5.40091,-19.3834,5.28193
2.468,-5.47574,-18.7087,5.81901
2.472,-5.54787,-18.0317,6
2.476,-5.61733,-17.3656,6
2.48,-5.68417,-16.7101,6
2.484,-5.74843,-16.065,6
2.488,-5.81015,-15.4302,6
2.492,-5.86938,-14.8055,6
2.496,-5.92614,-14.1907,6
2.5,-5.98048,-13.5857,6
